id,x,y,minlon,maxlon,minla,maxla,landuse
190.0,16.0,143.0,4.553999999999999,4.5569999999999995,52.3647,52.3665,1.0
192.0,16.0,149.0,4.553999999999999,4.5569999999999995,52.3755,52.3773,1.0
193.0,16.0,150.0,4.553999999999999,4.5569999999999995,52.3774,52.3791,3.0
194.0,16.0,151.0,4.553999999999999,4.5569999999999995,52.3791,52.3809,2.0
201.0,17.0,50.0,4.5571,4.56,52.1974,52.1991,3.0
204.0,17.0,58.0,4.5571,4.56,52.2117,52.2135,2.0
205.0,17.0,59.0,4.5571,4.56,52.2136,52.2153,2.0
206.0,17.0,60.0,4.5571,4.56,52.2153,52.2171,4.0
207.0,17.0,61.0,4.5571,4.56,52.2171,52.2189,3.0
211.0,17.0,74.0,4.5571,4.56,52.2406,52.2423,1.0
212.0,17.0,75.0,4.5571,4.56,52.2423,52.2441,1.0
213.0,17.0,76.0,4.5571,4.56,52.2442,52.2459,1.0
214.0,17.0,77.0,4.5571,4.56,52.2459,52.2477,1.0
215.0,17.0,78.0,4.5571,4.56,52.2477,52.2495,1.0
217.0,17.0,80.0,4.5571,4.56,52.2513,52.2531,1.0
218.0,17.0,81.0,4.5571,4.56,52.2532,52.2549,3.0
219.0,17.0,82.0,4.5571,4.56,52.2549,52.2567,3.0
220.0,17.0,83.0,4.5571,4.56,52.2567,52.2585,3.0
221.0,17.0,84.0,4.5571,4.56,52.2586,52.2603,3.0
222.0,17.0,85.0,4.5571,4.56,52.2603,52.2621,1.0
223.0,17.0,86.0,4.5571,4.56,52.2622,52.2639,1.0
224.0,17.0,87.0,4.5571,4.56,52.2639,52.2657,1.0
225.0,17.0,88.0,4.5571,4.56,52.2657,52.2675,1.0
226.0,17.0,89.0,4.5571,4.56,52.2676,52.2693,2.0
228.0,17.0,99.0,4.5571,4.56,52.2855,52.2873,3.0
231.0,17.0,105.0,4.5571,4.56,52.2963,52.2981,3.0
233.0,17.0,108.0,4.5571,4.56,52.3018,52.3035,3.0
234.0,17.0,143.0,4.5571,4.56,52.3647,52.3665,3.0
235.0,17.0,164.0,4.5571,4.56,52.4026,52.4043,4.0
236.0,17.0,193.0,4.5571,4.56,52.4547,52.4565,3.0
